文件名,流派,平均亮度,平均饱和度,RMS对比度,颜色丰富度,鲜明度,区域平衡度,梯度平滑度,GLCM对比度,GLCM相关性,GLCM能量,GLCM同质性
(Studio of) Giovanni Battista Tiepolo.jpg,洛可可艺术,60.5347,21.3505,0.5133,152.5322,35.1562,10.5596,31.3678,1.3871,0.9657,0.2401,0.7642
001#庚斯博罗MH046.tif,洛可可艺术,60.2373,23.6002,0.2425,67.3275,23.1934,10.7803,8.2694,0.5608,0.9428,0.2667,0.8257
006#庚斯博罗MH046.tif,洛可可艺术,51.5677,13.4174,0.1785,39.8017,11.1329,8.3707,1.16,0.1294,0.9669,0.4893,0.9397
007#庚斯博罗MH046.tif,洛可可艺术,63.034,31.0951,0.2605,126.8058,30.275,18.3054,5.3442,0.4833,0.9607,0.244,0.8168
009#庚斯博罗MH046.tif,洛可可艺术,57.9917,26.2841,0.2976,161.427,24.5954,16.2933,9.44,0.7745,0.9432,0.2072,0.7555
01#夏尔丹MH047.tif,洛可可艺术,62.7725,20.3636,0.1271,24.482,18.879,6.3004,2.1179,0.1935,0.9356,0.4649,0.9146
015#庚斯博罗MH046.tif,洛可可艺术,45.4705,29.9386,0.2206,57.3222,18.6267,6.5069,2.2805,0.1951,0.9579,0.4551,0.9139
018#庚斯博罗MH046.tif,洛可可艺术,59.9097,20.7696,0.2555,45.3939,21.5524,17.0206,2.8434,0.2448,0.9772,0.3149,0.8932
020#庚斯博罗MH046.tif,洛可可艺术,60.7035,18.3051,0.2986,63.3623,23.5742,19.918,4.1779,0.2774,0.9816,0.314,0.8903
021#庚斯博罗MH046.tif,洛可可艺术,56.6285,25.0587,0.1444,66.8429,18.1128,8.3535,3.4051,0.2905,0.9086,0.3867,0.8794
027#庚斯博罗MH046.tif,洛可可艺术,46.0458,37.2451,0.4136,140.5277,27.6152,16.6283,13.6554,0.6774,0.9589,0.2482,0.8336
03#夏尔丹MH047.tif,洛可可艺术,44.5975,25.3643,0.2249,20.6725,16.0969,7.072,5.1802,0.388,0.9153,0.3616,0.8709
04#夏尔丹MH047.tif,洛可可艺术,56.827,19.9125,0.2011,66.8502,16.2969,8.05,2.8169,0.2231,0.9631,0.3912,0.9059
05#夏尔丹MH047.tif,洛可可艺术,62.1562,15.0302,0.1481,25.4176,16.2169,6.0208,2.0542,0.1991,0.9501,0.4276,0.9102
15#夏尔丹MH047.tif,洛可可艺术,58.0941,36.6065,0.2693,100.2185,29.2109,10.9755,9.1307,0.516,0.954,0.2503,0.8363
16#夏尔丹MH047.tif,洛可可艺术,45.7783,32.3288,0.3518,169.855,23.2592,13.7405,4.2968,0.2962,0.975,0.3272,0.8872
17#夏尔丹MH047.tif,洛可可艺术,47.7249,34.252,0.2845,104.8843,21.9557,9.0701,5.0394,0.2868,0.9659,0.3983,0.9004
18#夏尔丹MH047.tif,洛可可艺术,54.8853,40.434,0.199,89.39,27.1833,8.9002,4.3489,0.4159,0.925,0.3025,0.8344
